Precio_BTC;Fecha;Precio_AAPL
8.578.770.914.901.770;24/3/2025;21.977.215.576.171.800
8.732.772.969.669.080;25/3/2025;222.779.052.734.375
8.752.058.391.530.560;26/3/2025;22.056.866.455.078.100
869.608.555.491.039;27/3/2025;22.287.860.107.421.800
8.722.727.158.032.370;28/3/2025;21.695.440.673.828.100
8.235.638.111.183.750;31/3/2025;2.211.660.614.013.670
8.251.409.365.397.840;1/4/2025;22.222.146.606.445.300
852.375.876.052.852;2/4/2025;22.291.842.651.367.100
825.264.221.526.433;3/4/2025;20.230.825.805.664.000
8.316.398.757.387.720;4/4/2025;18.756.253.051.757.800
7.821.148.358.199.980;7/4/2025;1.806.725.616.455.070
7.917.929.226.757.770;8/4/2025;1.716.717.987.060.540
76.329.090.356.324;9/4/2025;19.798.709.106.445.300
8.262.217.029.546.300;10/4/2025;18.959.365.844.726.500
7.959.635.732.250.760;11/4/2025;19.729.013.061.523.400
8.360.082.010.054.540;14/4/2025;2.016.411.590.576.170
845.234.524.914.945;15/4/2025;2.012.628.173.828.120
8.365.649.248.858.040;16/4/2025;1.934.269.561.767.570
8.410.577.942.167.090;17/4/2025;1.961.251.983.642.570
8.507.316.544.858.090;21/4/2025;19.232.176.208.496.000
8.745.204.699.068.280;22/4/2025;1.988.732.452.392.570
9.357.616.588.573.980;23/4/2025;20.371.214.294.433.500
9.360.545.230.873.200;24/4/2025;2.074.657.745.361.320
9.387.281.422.867.280;25/4/2025;20.837.181.091.308.500
9.380.933.781.968.220;28/4/2025;20.922.811.889.648.400
9.503.060.645.474.440;29/4/2025;21.029.345.703.125
9.425.635.946.318.060;30/4/2025;21.157.785.034.179.600
9.423.575.331.048.160;1/5/2025;21.239.430.236.816.400
9.642.694.522.273.020;2/5/2025;20.445.889.282.226.500
9.432.662.048.529.240;5/5/2025;19.802.691.650.390.600
947.588.237.105.546;6/5/2025;19.764.857.482.910.100
9.685.453.198.815.870;7/5/2025;19.539.837.646.484.300
9.702.649.376.966.800;8/5/2025;19.663.299.560.546.800
10.307.627.555.512.900;9/5/2025;19.766.847.229.003.900
103.994.061.616.746;12/5/2025;21.015.048.217.773.400
1.028.768.304.286.010;13/5/2025;21.228.399.658.203.100
10.418.449.039.270.700;14/5/2025;2.116.858.367.919.920
10.359.442.575.090.700;15/5/2025;21.080.850.219.726.500
10.370.885.136.423.600;16/5/2025;2.106.190.643.310.540
1.060.306.376.831.350;19/5/2025;20.814.659.118.652.300
10.562.941.580.436.600;20/5/2025;206.232.421.875
10.678.671.995.834.000;21/5/2025;20.147.689.819.335.900
10.966.586.371.625.200;22/5/2025;2.007.490.997.314.450
111.560.356.938.144;23/5/2025;19.467.758.178.710.900
10.937.771.513.263.100;27/5/2025;19.960.260.009.765.600
10.906.845.694.901.400;28/5/2025;1.998.119.659.423.820
10.783.818.431.100.100;29/5/2025;1.993.433.837.890.620
10.574.541.660.358.000;30/5/2025;20.024.066.162.109.300
10.571.000.593.822.800;2/6/2025;20.108.807.373.046.800
10.588.474.263.221.100;3/6/2025;2.026.533.203.125
10.543.447.745.144.900;4/6/2025;2.022.046.661.376.950
1.048.129.182.188.060;5/6/2025;2.000.213.165.283.200
1.016.507.387.545.420;6/6/2025;20.330.133.056.640.600
10.569.224.740.699.000;9/6/2025;2.008.388.214.111.320
11.026.157.485.948.400;10/6/2025;2.020.551.300.048.820
11.021.273.252.109.600;11/6/2025;1.981.769.256.591.790
1.086.799.760.916.160;12/6/2025;1.985.956.573.486.320
10.597.922.902.375.900;13/6/2025;19.585.400.390.625
10.555.449.383.061.700;16/6/2025;19.781.802.368.164.000
1.069.512.720.181.490;17/6/2025;19.504.644.775.390.600
10.468.342.479.835.700;18/6/2025;19.598.361.206.054.600
10.469.065.002.458.100;20/6/2025;20.039.019.775.390.600
10.085.258.264.648.800;23/6/2025;200.888.671.875
10.551.162.437.933.100;24/6/2025;19.969.232.177.734.300
10.597.606.929.808.400;25/6/2025;200.948.486.328.125
10.723.853.045.016.200;26/6/2025;20.039.019.775.390.600
10.698.401.253.775.600;27/6/2025;200.469.970.703.125
10.839.661.631.317.800;30/6/2025;20.454.754.638.671.800
10.713.279.910.701.800;1/7/2025;20.718.951.416.015.600
10.561.339.974.163.000;2/7/2025;2.117.954.864.501.950
10.882.444.423.167.900;3/7/2025;21.290.211.486.816.400
10.921.519.771.840.200;7/7/2025;2.093.130.340.576.170
10.830.071.675.785.000;8/7/2025;20.937.286.376.953.100
10.895.319.187.727.800;9/7/2025;2.104.994.354.248.040
11.132.753.054.245.600;10/7/2025;21.176.559.448.242.100
11.587.965.030.112.400;11/7/2025;2.105.193.634.033.200
